Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.01,0.61,0.44655549239627684
75% Corpus,8,0.01,0.9099999999999999,0.39755389332029023
75% Corpus,8,0.01,symmetric,0.39630715419115276
75% Corpus,8,0.31,0.01,0.4346399999102789
75% Corpus,8,0.31,0.31,0.41296805385138424
75% Corpus,8,0.31,0.61,0.3802303059378135
75% Corpus,8,0.31,0.9099999999999999,0.43401287279417894
75% Corpus,8,0.31,symmetric,0.41329995847473855
75% Corpus,8,0.61,0.01,0.44718916238736967
75% Corpus,8,0.61,0.31,0.44673950959936987
75% Corpus,8,0.61,0.61,0.42288272965519547
75% Corpus,8,0.61,0.9099999999999999,0.45044540300378516
75% Corpus,8,0.61,symmetric,0.45245463090544313
75% Corpus,8,0.9099999999999999,0.01,0.42954830556316836
75% Corpus,8,0.9099999999999999,0.31,0.44678520768321267
75% Corpus,8,0.9099999999999999,0.61,0.4497503672181815
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.456147907527352
75% Corpus,8,0.9099999999999999,symmetric,0.43197293849274276
75% Corpus,8,symmetric,0.01,0.3969302322780245
75% Corpus,8,symmetric,0.31,0.3996304283323852
75% Corpus,8,symmetric,0.61,0.389055100597267
75% Corpus,8,symmetric,0.9099999999999999,0.4069148907140264
75% Corpus,8,symmetric,symmetric,0.40299273394379265
75% Corpus,8,asymmetric,0.01,0.41452189100207215
75% Corpus,8,asymmetric,0.31,0.4119247765946679
75% Corpus,8,asymmetric,0.61,0.37996715571614215
75% Corpus,8,asymmetric,0.9099999999999999,0.4351444046204467
75% Corpus,8,asymmetric,symmetric,0.4019414974181326
75% Corpus,9,0.01,0.01,0.4201865227561238
75% Corpus,9,0.01,0.31,0.41650875312229396
75% Corpus,9,0.01,0.61,0.4019571046196899
75% Corpus,9,0.01,0.9099999999999999,0.43172863558334
75% Corpus,9,0.01,symmetric,0.4572413425376761
75% Corpus,9,0.31,0.01,0.4545109033885054
